,county_name,2012_unemp,2016_unemp,2020_unemp,2012_var_state,2016_var_state,2020_var_state,median_income_2012_2016_16_dollars,median_income_2020_16_dollars
161,Maverick,0.019,0.113,0.15,-0.046,0.065,0.082,37155,63653
162,Medina,0.038,0.044,0.063,-0.027,-0.004,-0.005,58333,56199
163,Menard,0.048,0.045,0.052,-0.017,-0.003,-0.016,37917,35579
164,Midland,0.03,0.044,0.081,-0.035,-0.004,0.013,71424,79455
165,Milam,0.05,0.052,0.071,-0.015,0.004,0.003,39213,45360
166,Mills,0.035,0.042,0.041,-0.03,-0.006,-0.027,44375,43404
167,Mitchell,0.055,0.07,0.079,-0.01,0.022,0.011,51555,41164
168,Montague,0.04,0.05,0.066,-0.025,0.002,-0.002,46383,49675
169,Montgomery,0.043,0.049,0.075,-0.022,0.001,0.007,70805,82253
170,Moore,0.029,0.03,0.038,-0.036,-0.018,-0.03,50552,51018
171,Morris,0.086,0.109,0.114,0.021,0.061,0.046,37902,40096
172,Motley,0.037,0.035,0.046,-0.028,-0.013,-0.022,35433,37238
173,Nacogdoches,0.043,0.047,0.066,-0.022,-0.001,-0.002,38915,42784
174,Navarro,0.039,0.042,0.062,-0.026,-0.006,-0.006,43388,45045
175,Newton,0.079,0.079,0.11,0.014,0.031,0.042,36829,42491
176,Nolan,0.041,0.048,0.053,-0.024,0.0,-0.015,38411,42953
177,Nueces,0.054,0.056,0.09,-0.011,0.008,0.022,51882,51925
178,Ochiltree,0.037,0.053,0.058,-0.028,0.005,-0.01,50011,57932
179,Oldham,0.025,0.03,0.039,-0.04,-0.018,-0.029,52292,55004
180,Orange,0.069,0.067,0.105,0.004,0.019,0.037,51443,58311
181,Palo Pinto,0.041,0.055,0.07,-0.024,0.007,0.002,42824,46444
182,Panola,0.055,0.072,0.084,-0.01,0.024,0.016,50712,52669
183,Parker,0.035,0.041,0.059,-0.03,-0.007,-0.009,67979,76390
184,Parmer,0.025,0.025,0.026,-0.04,-0.023,-0.042,48589,46858
185,Pecos,0.045,0.059,0.081,-0.02,0.011,0.013,51735,48855
186,Polk,0.06,0.063,0.087,-0.005,0.015,0.019,40864,46681
187,Potter,0.032,0.034,0.055,-0.033,-0.014,-0.013,40340,38091
188,Presidio,0.094,0.107,0.147,0.029,0.059,0.079,33453,31018
189,Rains,0.035,0.04,0.047,-0.03,-0.008,-0.021,50405,60794
190,Randall,0.028,0.03,0.045,-0.037,-0.018,-0.023,62635,65457
191,Reagan,0.038,0.062,0.097,-0.027,0.014,0.029,59257,62393
192,Real,0.057,0.057,0.067,-0.008,0.009,-0.001,37059,37809
193,Red River,0.052,0.058,0.064,-0.013,0.01,-0.004,35016,38264
194,Reeves,0.035,0.053,0.071,-0.03,0.005,0.003,46464,45361
195,Refugio,0.058,0.066,0.082,-0.007,0.018,0.014,50145,43410
196,Roberts,0.037,0.045,0.046,-0.028,-0.003,-0.022,72500,65468
197,Robertson,0.047,0.051,0.064,-0.018,0.003,-0.004,49142,43533
198,Rockwall,0.033,0.035,0.06,-0.032,-0.013,-0.008,89161,97929
199,Runnels,0.038,0.04,0.049,-0.027,-0.008,-0.019,41339,45046
200,Rusk,0.051,0.058,0.073,-0.014,0.01,0.005,47424,51885
201,Sabine,0.086,0.094,0.108,0.021,0.046,0.04,32500,40535
202,San Augustine,0.075,0.089,0.096,0.01,0.041,0.028,29426,37124
